2020-09-19 16:44:33
Epoch:001   iter:00240 | Loss:1.338 | Acc:0.492
Epoch:001   iter:00241 | Loss:1.339 | Acc:0.578
Epoch:001   iter:00242 | Loss:1.292 | Acc:0.648
Epoch:001   iter:00243 | Loss:1.383 | Acc:0.586
Epoch:001   iter:00244 | Loss:1.314 | Acc:0.578
Epoch:001   iter:00245 | Loss:1.331 | Acc:0.523
Epoch:001   iter:00246 | Loss:1.383 | Acc:0.555
Epoch:001   iter:00247 | Loss:1.298 | Acc:0.570
Epoch:001   iter:00248 | Loss:1.310 | Acc:0.625
Epoch:001   iter:00249 | Loss:1.325 | Acc:0.562
Epoch:001   iter:00250 | Loss:1.344 | Acc:0.594
Epoch:001   iter:00251 | Loss:1.301 | Acc:0.633
Epoch:001   iter:00252 | Loss:1.309 | Acc:0.641
Epoch:001   iter:00253 | Loss:1.338 | Acc:0.555
Epoch:001   iter:00254 | Loss:1.390 | Acc:0.547
Epoch:001   iter:00255 | Loss:1.263 | Acc:0.656
Epoch:001   iter:00256 | Loss:1.358 | Acc:0.609
Epoch:001   iter:00257 | Loss:1.293 | Acc:0.641
Epoch:001   iter:00258 | Loss:1.264 | Acc:0.633
Epoch:001   iter:00259 | Loss:1.340 | Acc:0.531
Epoch:001   iter:00260 | Loss:1.363 | Acc:0.602
Epoch:001   iter:00261 | Loss:1.388 | Acc:0.570
Epoch:001   iter:00262 | Loss:1.298 | Acc:0.641
Epoch:001   iter:00263 | Loss:1.325 | Acc:0.602
Epoch:001   iter:00264 | Loss:1.308 | Acc:0.586
Epoch:001   iter:00265 | Loss:1.222 | Acc:0.609
Epoch:001   iter:00266 | Loss:1.368 | Acc:0.602
Epoch:001   iter:00267 | Loss:1.329 | Acc:0.578
Epoch:001   iter:00268 | Loss:1.425 | Acc:0.453
Epoch:001   iter:00269 | Loss:1.348 | Acc:0.547
Epoch:001   iter:00270 | Loss:1.222 | Acc:0.641
Epoch:001   iter:00271 | Loss:1.310 | Acc:0.570
Epoch:001   iter:00272 | Loss:1.227 | Acc:0.625
Epoch:001   iter:00273 | Loss:1.305 | Acc:0.555
Epoch:001   iter:00274 | Loss:1.235 | Acc:0.602
Epoch:001   iter:00275 | Loss:1.300 | Acc:0.625
Epoch:001   iter:00276 | Loss:1.247 | Acc:0.664
Epoch:001   iter:00277 | Loss:1.196 | Acc:0.625
Epoch:001   iter:00278 | Loss:1.287 | Acc:0.562
Epoch:001   iter:00279 | Loss:1.203 | Acc:0.664
Epoch:001   iter:00280 | Loss:1.223 | Acc:0.680
Epoch:001   iter:00281 | Loss:1.309 | Acc:0.562
Epoch:001   iter:00282 | Loss:1.220 | Acc:0.594
Epoch:001   iter:00283 | Loss:1.339 | Acc:0.570
Epoch:001   iter:00284 | Loss:1.188 | Acc:0.734
Epoch:001   iter:00285 | Loss:1.261 | Acc:0.633
Epoch:001   iter:00286 | Loss:1.267 | Acc:0.625
Epoch:001   iter:00287 | Loss:1.207 | Acc:0.648
Epoch:001   iter:00288 | Loss:1.278 | Acc:0.641
Epoch:001   iter:00289 | Loss:1.201 | Acc:0.656
Epoch:001   iter:00290 | Loss:1.269 | Acc:0.594
Epoch:001   iter:00291 | Loss:1.186 | Acc:0.633
Epoch:001   iter:00292 | Loss:1.179 | Acc:0.633
Epoch:001   iter:00293 | Loss:1.189 | Acc:0.602
Epoch:001   iter:00294 | Loss:1.151 | Acc:0.719
Epoch:001   iter:00295 | Loss:1.185 | Acc:0.648
Epoch:001   iter:00296 | Loss:1.223 | Acc:0.578
Epoch:001   iter:00297 | Loss:1.264 | Acc:0.602
Epoch:001   iter:00298 | Loss:1.272 | Acc:0.586
Epoch:001   iter:00299 | Loss:1.190 | Acc:0.625
Epoch:001   iter:00300 | Loss:1.199 | Acc:0.688
Epoch:001   iter:00301 | Loss:1.204 | Acc:0.586
Epoch:001   iter:00302 | Loss:1.308 | Acc:0.539
Epoch:001   iter:00303 | Loss:1.333 | Acc:0.547
Epoch:001   iter:00304 | Loss:1.171 | Acc:0.656
Epoch:001   iter:00305 | Loss:1.243 | Acc:0.594
Epoch:001   iter:00306 | Loss:1.234 | Acc:0.664
Epoch:001   iter:00307 | Loss:1.210 | Acc:0.633
Epoch:001   iter:00308 | Loss:1.191 | Acc:0.633
Epoch:001   iter:00309 | Loss:1.166 | Acc:0.688
Epoch:001   iter:00310 | Loss:1.331 | Acc:0.523
Epoch:001   iter:00311 | Loss:1.157 | Acc:0.625
Epoch:001   iter:00312 | Loss:1.138 | Acc:0.664
